	index	date	home	away	score	round_text	play_round	score_45	score_90	score_105	score_120	aet	pso	home_goals	away_goals	season	url	home_manager	away_manager	home_sheet	away_sheet
17	19	19/08/2017	TEC VV	Rijnsburgse Boys	1:3	2. pre-round	2	1:1	1:1	1:3	NA	True	False	1	3	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-tec-vv-rijnsburgse-boys/	Frits van den Berk	Pieter Mulders	[Sebastiaan van der Sman, Migiel Zeller, Daan Disveld, Obi Onyeike, Randel Shakison, Bart Westerlaken, Matthijs van Gessel, Wimilio Vink, Serhat Ko xe, Gianluca Maria, Robby Holder]	[Richard van Nieuwkoop, Roderick Gielisse, Masies Artien, Hidde Prijs, Jordy Strooker, Carlos Opoku, Wesley Goeman, Jo xebl Tillema, Giovialli Serbony, Jeffrey Jongeneelen, Donny van Oijen]
18	20	20/08/2017	Koninklijke HFC	RKVV Westlandia	4:0	2. pre-round	2	2:0	NA	NA	NA	False	False	4	0	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-koninklijke-hfc-rkvv-westlandia/	Ted Verdonkschot	Edwin Gr\xfcnholz	[Gerard van Rossum, Danny Hols, Andr xe Morgan, Wessel Boer, Kevin de Visser, Michael Timisela, Daniel van Son, Steven Olsthoorn, Kevin Sterling, Koen Beeren, Gertjan Tamerus]	[Jari Duijvestijn, Ramon Ripson, Mitchel Jacobs, Nick van Vliet, Marko van der Knaap, Patrick Batist, Adnan Baji u, Jessie van der Burg, Jeroen Spruijt, Anwar Beeldstroo, R xe mon van Bochoven]
19	21	20/08/2017	Amsterdamsche FC	ASV De Dijk	0:2	2. pre-round	2	0:0	NA	NA	NA	False	False	0	2	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-amsterdamsche-fc-asv-de-dijk/	Ton du Chatinier	Jochem Twisker	[Joey Potveer, Sam Nijpels, Derre Kwee, Magid Jansen, Thomas van den Houten, Jonathan Richard, Tom van den Brink, Milan Hoek, Ilias Zaimi, Eelke de Graaf, Melvin Grootfaam]	[Jeroen Verhoeven, Frank Schilder, Robert Verschraagen, Alje Wiltenburg, Kevin Westmaas, Raymond Baten, Abderrahim Loukili, Harry Zwarthoed, Achmed Ahahaoui, Jack Tuyp, Nabil el Gourari]
20	22	22/08/2017	SVV Scheveningen	VV Spijkenisse	3:2	2. pre-round	2	0:0	0:0	0:0	NA	False	True	3	2	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-svv-scheveningen-vv-spijkenisse/	John Blok	Peter Wubben	[Sven Wolsheimer, Samir el Moussaoui, Ruben Koorndijk, Jari de Jong, Gio van Ree, Levi Schwiebbe, Leroy Resodihardjo, Peter Jungschl xe ger, Mehmet Aldo u fan, Marvin Nieuwlaat, Robert Steemers]	[Dyron Bijl, Eti xebn Mariana, Eric Polet, Glenn Rijsdijk, Stefano Goncalves, Sander Barragan, Felino Jardim, Danny Groos, Marvin van der Pluijm, Michael van Dommelen, Serginho van Axel Dongen]
21	23	22/08/2017	HSC'21	VV Zwaluwen	0:1	2. pre-round	2	0:1	NA	NA	NA	False	False	0	1	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-hsc21-vv-zwaluwen/	Dani\xebl Nijhof	Oscar Biesheuvel	[Wouter Lankheet, Dion Hartgerink, xc a u flar U u fuz, Mark Engberink, Kelvin Veensma, Jordi van Ek, Bas ter Hogt, Joost Screever, Kevin Spanjaard, Stef Ottink, Bas Postma]	[Marvin van Tienen, Leon Krznari u, Wesley de Heij, Tim Gudde, Dennis van Rijn, Erwin de Groot, Robin Hofman, Jesper Gudde, Justin van Mullem, Ricardo Merrelaar, Sten Wever]
22	24	22/08/2017	Harkemase Boys	Sparta Nijkerk	2:3	2. pre-round	2	0:0	0:0	0:0	NA	False	True	2	3	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-harkemase-boys-sparta-nijkerk/	Henk Herder	Marco Roelofsen	[, Erick Jansema, Jim de Leeuw, Bart de Groot, Jesse Renken, Jens Jurn Streutker, Kevin Mennega, Johnny de Vries, Henny Bouius, Dennis van Duinen, Yannick Kaluzi]	[Erick Jansema, Jim de Leeuw, Bart de Groot, Jesse Renken, Jens Jurn Streutker, Kevin Mennega, Johnny de Vries, Henny Bouius, Dennis van Duinen, Yannick Kaluzi, Berwout Beimers]
23	25	22/08/2017	BVV Barendrecht	VVOG Harderwijk	1:0	2. pre-round	2	1:0	NA	NA	NA	False	False	1	0	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-bvv-barendrecht-vvog-harderwijk/	Adrie Poldervaart	Hans van Arum	[Marc van Splunter, Tim Eekman, Max van Dijk, Lionel Fitsch, Jeffrey Aarts, Danny Monster, Joey Jongman, Richard Stolte, Ramy Salem, Ali Khaldi, Dani xebl Esajas]	[Frans Koornberg, Tim Muller, Jan Jurri xebn Hop, Roelof de Groot, Wilko Braam, Wesley de Klein, Jeffrey Snijders, Tijmen van Straten, Pernelly Biya, Frank Hol, Jeffrey Arends]
24	26	22/08/2017	Blauw Geel '38	SV Spakenburg	3:2	2. pre-round	2	2:1	NA	NA	NA	False	False	3	2	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-blauw-geel-38-sv-spakenburg/	Niels van Casteren	John de Wolf	[Brahim Zaari, Edwin Huibers, Martijn van Loon, Mark Westerlaken, Desley Schilders, Mark Dobbelsteen, Sander van Egmond, Serkan Ordu, Joey Hellstern, Alexander Mols, Sjaak Egmond]	[Daan Huiskamp, Barry Beijer, Tom van der Neut, Guido van Rijn, Sten Vreekamp, Philip Ties, Mike Vreekamp, Jasper Waalkens, Kees Tol, Olivier Pilon, Bert Steltenpool]
25	27	23/08/2017	sv DFS	ONS Sneek	1:2	2. pre-round	2	0:2	NA	NA	NA	False	False	1	2	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-sv-dfs-ons-sneek/	Scott Calderwood	Chris de Wagt	[Noah Tomatala, Corn xe Davelaar, Tim Sanders, Rick van Walsem, Melvin van Osenbruggen, Marc Harlaux, Luci xebn Dors, Arjan Goorman, Lorenzo Davids, Rutger Worm, Thijs Hendriks]	[Volken Huisman, Klaas de Vries, Rein Werumeus Buning, Serge Fatima, Tim Oosterbaan, Frits Dantuma, Michael Lanting, Tom Arissen, Fabian Stevens, Arton Musliu, Jan Dommerholt]
26	28	23/08/2017	VV Capelle	VV Altius	6:1	2. pre-round	2	1:0	NA	NA	NA	False	False	6	1	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-vv-capelle-vv-altius/	Winand van Loon	Herman Wallenburg	[Ferry Hagendijk, Gert Jan Rothman, Stefan Dams, Jamie Jaliens, Sandin Avdi u, Wilmer Kousemaker, Jorn van Lunteren, Bram van Eijk, Olaf van der Sande, Angelmo Vyent, Kelvin Kalika]	[Roy van Wagtendonk, Roy van de Brink, Beau Schaepman, Mark Koomen, Jan Kloet, Arno Calis, Wouter Koetsier, Bilal el Morabet, Glenn Hemmers, Ruben Bakker, Jordy Arp]
27	29	23/08/2017	AVV Swift	HBS-Craeyenhout	3:0	2. pre-round	2	1:0	NA	NA	NA	False	False	3	0	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-avv-swift-hbs-craeyenhout/	Bart Logchies	Marcel Koning	[Bogdan Constantin, Teun van Zweeden, Mike Ruijter, Mathieu Christianen, Nik Gabel, Rutger de Vries, Max van Wakeren, Mallqui Cabezas, Syrano Morrison, Jordy de Groot, Tim Wulffraat]	[Paul van der Helm, Jim Roberti, Bart Koffeman, Steve van Kesteren, Bram Ros, Kevin Schutte, Tony Bergsma, Willem Six, Mike de Geer, Santy Hulst, Nelson Vieira]
28	30	23/08/2017	USV Hercules	VV Dongen	4:2	2. pre-round	2	1:0	2:2	4:2	NA	True	False	4	2	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-usv-hercules-vv-dongen/	Eric Speelziek	Ron Timmers	[Fons Mulder, Kevin Ligtermoet, Matthijs Blijham, Mart Stokkers, Leroy Oehlers, Mitchel Bolck, Floris Burgers, Jeffrey Vlug, Guytho Mijland, Oskar van Logtestijn, Amine el Bouzidi]	[Jordy Zielschot, Floris Wouters, Luuk Hultermans, Jan Gerrits, Jaap van der Waarden, Glenn Kools, Gijs van den Berg, R xe mon Koenen, Anwar Tuithof, Mustafa Mohammad, Tom Kolkert]
